date,variable,value
2018-06-24,google,43
2018-07-01,google,45
2018-07-08,google,45
2018-07-15,google,46
2018-07-22,google,46
2018-07-29,google,45
2018-08-05,google,44
2018-08-12,google,42
2018-08-19,google,46
2018-08-26,google,44
2018-09-02,google,44
2018-09-09,google,45
2018-09-16,google,46
2018-09-23,google,47
2018-09-30,google,47
2018-10-07,google,48
2018-10-14,google,46
2018-10-21,google,46
2018-10-28,google,46
2018-11-04,google,47
2018-11-11,google,46
2018-11-18,google,45
2018-11-25,google,46
2018-12-02,google,47
2018-12-09,google,45
2018-12-16,google,45
2018-12-23,google,43
2018-12-30,google,42
2019-01-06,google,42
2019-01-13,google,42
2019-01-20,google,43
2019-01-27,google,43
2019-02-03,google,45
2019-02-10,google,45
2019-02-17,google,46
2019-02-24,google,46
2019-03-03,google,45
2019-03-10,google,46
2019-03-17,google,47
2019-03-24,google,45
2019-03-31,google,42
2019-04-07,google,43
2019-04-14,google,44
2019-04-21,google,45
2019-04-28,google,43
2019-05-05,google,40
2019-05-12,google,43
2019-05-19,google,44
2019-05-26,google,42
2019-06-02,google,44
2019-06-09,google,44
2019-06-16,google,45
2019-06-23,google,43
2019-06-30,google,44
2019-07-07,google,44
2019-07-14,google,44
2019-07-21,google,44
2019-07-28,google,44
2019-08-04,google,44
2019-08-11,google,43
2019-08-18,google,44
2019-08-25,google,42
2019-09-01,google,41
2019-09-08,google,44
2019-09-15,google,44
2019-09-22,google,45
2019-09-29,google,44
2019-10-06,google,45
2019-10-13,google,44
2019-10-20,google,44
2019-10-27,google,44
2019-11-03,google,43
2019-11-10,google,42
2019-11-17,google,43
2019-11-24,google,43
2019-12-01,google,43
2019-12-08,google,43
2019-12-15,google,46
2019-12-22,google,41
2019-12-29,google,41
2020-01-05,google,41
2020-01-12,google,41
2020-01-19,google,41
2020-01-26,google,40
2020-02-02,google,39
2020-02-09,google,40
2020-02-16,google,40
2020-02-23,google,40
2020-03-01,google,42
2020-03-08,google,42
2020-03-15,google,46
2020-03-22,google,46
2020-03-29,google,46
2020-04-05,google,45
2020-04-12,google,46
2020-04-19,google,45
2020-04-26,google,43
2020-05-03,google,43
2020-05-10,google,44
2020-05-17,google,42
2020-05-24,google,44
2020-05-31,google,43
2020-06-07,google,42
2020-06-14,google,40
2020-06-21,google,41
2020-06-28,google,40
2020-07-05,google,40
2020-07-12,google,39
2020-07-19,google,39
2020-07-26,google,40
2020-08-02,google,40
2020-08-09,google,39
2020-08-16,google,39
2020-08-23,google,40
2020-08-30,google,41
2020-09-06,google,41
2020-09-13,google,41
2020-09-20,google,42
2020-09-27,google,51
2015-10-11,spor ayakkabı,22
2015-10-18,spor ayakkabı,20
2015-10-25,spor ayakkabı,20
2015-11-01,spor ayakkabı,19
2015-11-08,spor ayakkabı,19
2015-11-15,spor ayakkabı,17
2015-11-22,spor ayakkabı,19
2015-11-29,spor ayakkabı,17
2015-12-06,spor ayakkabı,17
2015-12-13,spor ayakkabı,17
